YEAR	MONTH	POS	PKG_SA	MER_AGN	x	ONLINE_OFFLN_IND	DEST_AIRPT_IATA_REGN_NAME	DOM_INTL_IND	REV_ADJ_FACTR_%	REV_ADJ_FACTR_UNIT	COS_ADJ_FACTR_%	COS_ADJ_FACTR_UNIT	VCOS_ADJ_FACTR_%	VCOS_ADJ_FACTR_UNIT	MESOLOY_ADJ_FACTR_%	MESOLOY_ADJ_FACTR_UNIT	MESO_ADJ_FACTR_%	MESO_ADJ_FACTR_UNIT	LOYALTY_ADJ_FACTR_%	LOYALTY_ADJ_FACTR_UNIT	OTHER_ADJ_FACTR_%	OTHER_ADJ_FACTR_UNIT	BEC_ADJ_FACTR_UNIT
2017	10	Airasiago AU	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	DestSvc	Offline	NA	NA	0	0	0.002119	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	DestSvc	Online	NA	NA	0	0	0.002119	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Package	Merchant	Lodging	Offline	NA	NA	0.009753	0	0.004181	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	10	Airasiago AU	Package	Merchant	Lodging	Online	NA	NA	0.009753	0	0.004181	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	10	Airasiago AU	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.001999	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.001999	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Direct Agency	Lodging	Offline	NA	NA	0.001805	0	0.001999	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	10	Airasiago AU	Standalone	Direct Agency	Lodging	Online	NA	NA	0.001805	0	0.001999	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	10	Airasiago AU	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Merchant	DestSvc	Offline	NA	NA	-0.014587	0	0.026206	0	0	0	0	0	0	0	0	0	-0.014587	0	0
2017	10	Airasiago AU	Standalone	Merchant	DestSvc	Online	NA	NA	-0.014587	0	0.026206	0	0	0	0	0	0	0	0	0	-0.014587	0	0
2017	10	Airasiago AU	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago AU	Standalone	Merchant	Lodging	Offline	NA	NA	0.025806	0	0.007641	0	0	0	0	0	0	0	0	0	0.017781	0	0
2017	10	Airasiago AU	Standalone	Merchant	Lodging	Online	NA	NA	0.025806	0	0.007641	0	0	0	0	0	0	0	0	0	0.017781	0	0
2017	11	Airasiago AU	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Package	Merchant	DestSvc	Offline	NA	NA	0.008987	0	0.002783	0	0	0	0	0	0	0	0	0	0.008987	0	0
2017	11	Airasiago AU	Package	Merchant	DestSvc	Online	NA	NA	0.008987	0	0.002783	0	0	0	0	0	0	0	0	0	0.008987	0	0
2017	11	Airasiago AU	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Package	Merchant	Lodging	Offline	NA	NA	0.009753	0	0.005046	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	11	Airasiago AU	Package	Merchant	Lodging	Online	NA	NA	0.009753	0	0.005046	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	11	Airasiago AU	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.002062	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.002062	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Direct Agency	Lodging	Offline	NA	NA	0.001805	0	0.002062	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	11	Airasiago AU	Standalone	Direct Agency	Lodging	Online	NA	NA	0.001805	0	0.002062	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	11	Airasiago AU	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Merchant	DestSvc	Offline	NA	NA	-0.015884	0	0.026434	0	0	0	0	0	0	0	0	0	-0.015884	0	0
2017	11	Airasiago AU	Standalone	Merchant	DestSvc	Online	NA	NA	-0.015884	0	0.026434	0	0	0	0	0	0	0	0	0	-0.015884	0	0
2017	11	Airasiago AU	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago AU	Standalone	Merchant	Lodging	Offline	NA	NA	0.025999	0	0.009054	0	0	0	0	0	0	0	0	0	0.018273	0	0
2017	11	Airasiago AU	Standalone	Merchant	Lodging	Online	NA	NA	0.025999	0	0.009054	0	0	0	0	0	0	0	0	0	0.018273	0	0
2017	12	Airasiago AU	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Package	Merchant	DestSvc	Offline	NA	NA	0.004495	0	0.003368	0	0	0	0	0	0	0	0	0	0.004495	0	0
2017	12	Airasiago AU	Package	Merchant	DestSvc	Online	NA	NA	0.004495	0	0.003368	0	0	0	0	0	0	0	0	0	0.004495	0	0
2017	12	Airasiago AU	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Package	Merchant	Lodging	Offline	NA	NA	0.009753	0	0.004648	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	12	Airasiago AU	Package	Merchant	Lodging	Online	NA	NA	0.009753	0	0.004648	0	0	0	0	0	0	0	0	0	0.007657	0	0
2017	12	Airasiago AU	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.002649	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.002649	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Direct Agency	Lodging	Offline	NA	NA	0.001805	0	0.002649	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	12	Airasiago AU	Standalone	Direct Agency	Lodging	Online	NA	NA	0.001805	0	0.002649	0	0	0	0	0	0	0	0	0	0.001805	0	0
2017	12	Airasiago AU	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Merchant	DestSvc	Offline	NA	NA	-0.013047	0	0.109885	0	0	0	0	0	0	0	0	0	-0.013047	0	0
2017	12	Airasiago AU	Standalone	Merchant	DestSvc	Online	NA	NA	-0.013047	0	0.109885	0	0	0	0	0	0	0	0	0	-0.013047	0	0
2017	12	Airasiago AU	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	12	Airasiago AU	Standalone	Merchant	Lodging	Offline	NA	NA	0.026333	0	0.009556	0	0	0	0	0	0	0	0	0	0.019121	0	0
2017	12	Airasiago AU	Standalone	Merchant	Lodging	Online	NA	NA	0.026333	0	0.009556	0	0	0	0	0	0	0	0	0	0.019121	0	0
2017	10	Airasiago CN	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Package	Merchant	Lodging	Offline	NA	NA	0.01889	0	0.01823	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	10	Airasiago CN	Package	Merchant	Lodging	Online	NA	NA	0.01889	0	0.01823	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	10	Airasiago CN	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.015027	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.015027	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Direct Agency	Lodging	Offline	NA	NA	-0.000965	0	0.015027	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	10	Airasiago CN	Standalone	Direct Agency	Lodging	Online	NA	NA	-0.000965	0	0.015027	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	10	Airasiago CN	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	Airasiago CN	Standalone	Merchant	Lodging	Offline	NA	NA	0.013492	0	0.041273	0	0	0	0	0	0	0	0	0	0.012525	0	0
2017	10	Airasiago CN	Standalone	Merchant	Lodging	Online	NA	NA	0.013492	0	0.041273	0	0	0	0	0	0	0	0	0	0.012525	0	0
2017	11	Airasiago CN	Package	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	DestSvc	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	DestSvc	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	Insurance	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	Insurance	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Package	Merchant	Lodging	Offline	NA	NA	0.01889	0	0.010164	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	11	Airasiago CN	Package	Merchant	Lodging	Online	NA	NA	0.01889	0	0.010164	0	0	0	0	0	0	0	0	0	0.01279	0	0
2017	11	Airasiago CN	Standalone	Agency	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Agency	Car	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Agency	Cruise	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Agency	Cruise	Online	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Agency	Lodging	Offline	NA	NA	0	0	0.021033	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Agency	Lodging	Online	NA	NA	0	0	0.021033	0	0	0	0	0	0	0	0	0	0	0	0
2017	11	Airasiago CN	Standalone	Direct Agency	Lodging	Offline	NA	NA	-0.000965	0	0.021033	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	11	Airasiago CN	Standalone	Direct Agency	Lodging	Online	NA	NA	-0.000965	0	0.021033	0	0	0	0	0	0	0	0	0	-0.000965	0	0
2017	11	Airasiago CN	Standalone	Merchant	Car	Offline	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
