YEAR,MONTH,POS,PKG_SA,MER_AGN,LOB,ONLINE_OFFLN_IND,DEST_AIRPT_IATA_REGN_NAME,DOM_INTL_IND,REV_ADJ_FACTR_%,REV_ADJ_FACTR_UNIT,COS_ADJ_FACTR_%,COS_ADJ_FACTR_UNIT,VCOS_ADJ_FACTR_%,VCOS_ADJ_FACTR_UNIT,MESOLOY_ADJ_FACTR_%,MESOLOY_ADJ_FACTR_UNIT,MESO_ADJ_FACTR_%,MESO_ADJ_FACTR_UNIT,LOYALTY_ADJ_FACTR_%,LOYALTY_ADJ_FACTR_UNIT,OTHER_ADJ_FACTR_%,OTHER_ADJ_FACTR_UNIT,BEC_ADJ_FACTR_UNIT
2018,1,Airasiago AU,Package,Merchant,Car,Offline,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,Car,Online,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,DestSvc,Offline,NA,NA,0,0,0.001939,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,DestSvc,Online,NA,NA,0,0,0.001939,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,Insurance,Offline,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,Insurance,Online,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Package,Merchant,Lodging,Offline,NA,NA,0.006283,0,0.002501,0,0,0,0,0,0,0,0,0,0.002799,0,0
2018,1,Airasiago AU,Package,Merchant,Lodging,Online,NA,NA,0.006283,0,0.002501,0,0,0,0,0,0,0,0,0,0.002799,0,0
2018,1,Airasiago AU,Standalone,Agency,Car,Offline,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Agency,Car,Online,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Agency,Cruise,Offline,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Agency,Cruise,Online,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Agency,Lodging,Offline,NA,NA,0,0,0.001582,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Agency,Lodging,Online,NA,NA,0,0,0.001582,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,Airasiago AU,Standalone,Direct Agency,Lodging,Offline,NA,NA,0.001592,0,0.001582,0,0,0,0,0,0,0,0,0,0.001592,0,0
2018,1,Airasiago AU,Standalone,Direct Agency,Lodging,Online,NA,NA,0.001592,0,0.001582,0,0,0,0,0,0,0,0,0,0.001592,0,0
